0 1 55
0 1 55
0 1 D5
0 1 AB
0 1 CD
0 1 EF
0 1 12
0 1 34
0 1 56
0 1 12
0 1 00
0 1 3F
0 1 00
0 1 00
0 1 04
0 1 01
0 1 01
0 1 F6
0 1 B2
0 1 D2
0 1 BA
0 1 EC
0 1 5C
0 1 5D
0 1 E2
0 1 89
0 1 72
0 1 38
0 1 07
0 1 7E
0 1 F6
0 1 6E
0 1 74
0 1 A5
0 1 3B
0 1 08
0 1 62
0 1 07
0 1 3B
0 1 BF
0 1 1C
0 1 21
0 1 D0
0 1 2A
0 1 23
0 1 48
0 1 EF
0 1 D9
0 1 79
0 1 AB
0 1 4C
0 1 28
0 1 A7
0 1 12
0 1 B7
0 1 A9
0 1 F4
0 1 4B
0 1 CF
0 1 1C
0 1 70
0 1 A6
0 1 67
0 1 1A
0 1 A0
0 1 93
0 1 63
0 1 A2
0 1 1B
0 1 40
0 1 ED
0 1 2C
0 1 00
0 1 00
0 1 00
0 1 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 1 D5
0 1 01
0 1 AB
0 1 12
0 1 34
0 1 CD
0 1 EF
0 1 12
0 1 00
0 1 3F
0 1 00
0 1 00
0 1 04
0 1 01
0 1 01
0 1 DC
0 1 82
0 1 34
0 1 C5
0 1 27
0 1 3F
0 1 CD
0 1 62
0 1 B4
0 1 74
0 1 3F
0 1 C9
0 1 A4
0 1 44
0 1 94
0 1 26
0 1 85
0 1 66
0 1 07
0 1 2E
0 1 BF
0 1 91
0 1 6E
0 1 92
0 1 E3
0 1 3F
0 1 AE
0 1 C7
0 1 33
0 1 B1
0 1 6F
0 1 3D
0 1 E6
0 1 0D
0 1 50
0 1 51
0 1 DC
0 1 F5
0 1 C8
0 1 E2
0 1 2F
0 1 CB
0 1 7F
0 1 E9
0 1 20
0 1 C5
0 1 1F
0 1 B2
0 1 61
0 1 9A
0 1 B8
0 1 39
0 1 A4
0 1 D3
0 1 CC
0 1 F8
0 1 57
0 1 EE
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 0 00
0 1 55
0 1 55
0 1 55
0 1 D5
0 1 FF
0 1 FF
0 1 FF
0 1 FF
0 1 FF
0 1 FF
0 1 12
0 1 00
0 1 3F
0 1 00
0 1 00
