0 0000
0 0000
0 0000
0 0000
1 0016
1 1234
1 5678
1 90AB
1 C4D1
1 36EF
1 10F6
1 0101
1 DE5B
1 A179
1 BD26
1 08ED
0 0000
0 0000
0 0000
0 0000
0 0000
1 0017
1 C0FF
1 EE01
1 0203
1 2F18
1 5B74
1 9A45
1 0101
1 BB20
1 AF75
1 2FE9
1 D0FD
1 EB00
0 0000
0 0000
0 0000
0 0000
0 0000
1 0206
1 C0FF
1 EE01
1 0203
1 1AA9
1 2684
1 3879
1 0101
1 5630
1 43A0
1 BB54
1 C39A
1 FAAE
1 1C5B
1 E153
1 E72D
1 B61A
1 1EE6
1 F84E
1 834C
1 8FD2
1 FA48
1 8580
1 972D
1 9269
1 E288
1 0DC9
1 CDAA
1 891B
1 6479
1 CF9D
1 E283
1 5863
1 694A
1 B21A
1 440F
1 D650
1 601C
1 916B
1 60C8
1 22FC
1 EE10
1 8FFD
1 31AF
1 717F
1 6DEB
1 1414
1 C33B
1 C1E0
1 DC87
1 3925
1 596C
1 457C
1 792D
1 F1BA
1 D214
1 0BAB
1 EFFE
1 2ED9
1 C9E0
1 7AAA
1 359E
1 3FF5
1 377F
1 7597
1 9878
1 611F
1 26A6
1 43FD
1 F182
1 6EB7
1 A525
1 5F0A
1 B783
1 0CB4
1 FAD9
1 151A
1 9B20
1 4E92
1 33F8
1 69F5
1 9897
1 64EE
1 0AF9
1 7478
1 2DEC
1 5B75
1 9C24
1 B774
1 2BF9
1 ED99
1 2F23
1 FC7D
1 F0BD
1 F1FF
1 A534
1 CF1C
1 DDA0
1 64E7
1 280E
1 4D01
1 FB79
1 3896
1 B8F2
1 E328
1 AB34
1 5711
1 799D
1 EC27
1 6294
1 79F3
1 6212
1 635B
1 5FA2
1 0AF3
1 87D0
1 0701
1 BF29
1 656A
1 B3ED
1 1D33
1 7E74
1 6EED
1 E30C
1 324F
1 545E
1 B5C0
1 3A02
1 8E6B
1 86C6
1 A150
1 8AB8
1 3679
1 3958
1 BB35
1 DDC7
1 80DB
1 D13E
1 B401
1 232F
1 93A1
1 A255
1 4EAB
1 2901
1 85C0
1 8525
1 84E1
1 F3F8
1 95D6
1 17B7
1 55E4
1 2C28
1 D645
1 9006
1 63F1
1 4079
1 012D
1 4C60
1 F492
1 DDA4
1 38F1
1 64E7
1 FB1A
1 85AB
1 8364
1 C050
1 A925
1 BAF7
1 D2A7
1 8258
1 B37A
1 2158
1 A4F8
1 AFE2
1 092F
1 5FF4
1 2EA7
1 A9C6
1 F732
1 CA8F
1 EDF3
1 5C35
1 85B5
1 D76C
1 2304
1 9C19
1 032B
1 11C8
1 6809
1 A27D
1 FAD1
1 FFC4
1 A1A2
1 0BFA
1 5161
1 B63C
1 CCD6
1 5FCE
1 CB8F
1 CD0C
1 58BD
1 54D2
1 0EE6
1 3812
1 FE4E
1 5849
1 8134
1 1BA4
1 5E33
1 5BC5
1 DD63
1 3826
1 3CBD
1 70F0
1 DC57
1 0DD8
1 478D
1 8704
1 F724
1 A396
1 4B74
1 9787
1 98B1
1 3FC2
1 2F5B
1 016B
1 E4F8
1 2789
1 4CDA
1 0E63
1 6ED1
1 D946
1 2048
1 F127
1 A43B
1 0862
1 3D97
1 FA89
1 E723
1 9347
1 05AD
1 E1C3
1 229E
1 CE17
1 3C3B
1 FA11
1 D7B8
1 7F1A
1 B3D5
1 718D
1 9E96
1 C632
1 53B9
1 5307
1 CDB1
1 0631
1 7D12
1 592E
1 B00F
1 78AA
0 0000
0 0000
0 0000
0 0000
0 0000
1 09D6
1 C0FF
1 EE01
1 0203
1 CD43
1 1DB9
1 20A5
1 0101
1 E387
1 BA46
1 D129
1 B7C3
1 260F
1 7A12
1 BFFB
1 6E82
1 6F17
1 C8C3
1 9A94
1 C7F8
1 567A
1 601E
1 EF62
1 EBB6
1 D74A
1 78A0
1 BF89
1 E801
1 A3DE
1 A1DD
1 651D
1 46D5
1 8ADD
1 C65F
1 30CA
1 F6A5
1 78EF
1 3BDC
1 7F5D
1 3798
1 AF8B
1 1C8F
1 7DA5
1 2CB3
1 90E8
1 5382
1 D6DF
1 802E
1 CCB0
1 3574
1 7ECD
1 97CD
1 564C
1 23C5
1 DD3C
1 A1CE
1 2B7B
1 E5B4
1 BA19
1 D79C
1 D163
1 DCF6
1 0484
1 D5B4
1 F8AD
1 B6A1
1 EF78
1 4DB6
1 81B7
1 3616
1 EFAC
1 6558
1 55FF
1 BDFA
1 A997
1 BA66
1 10C2
1 BE16
1 A0B4
1 9B9B
1 3764
1 57F6
1 FDB6
1 2A2F
1 EDAF
1 8886
1 F88E
1 D408
1 4B59
1 9EDE
1 EEE7
1 9BF3
1 81CC
1 4B64
1 6EFE
1 98FB
1 1B08
1 2DE5
1 BE45
1 7018
1 AAE9
1 B35B
1 6149
1 B4FC
1 AF65
1 F475
1 0F94
1 D32D
1 AB74
1 5F88
1 11F5
1 7BCE
1 13A8
1 FB83
1 34F1
1 1CB0
1 61FA
1 0481
1 C4ED
1 74CB
1 1526
1 2798
1 11F0
1 C123
1 71F6
1 155D
1 5EDA
1 2EE0
1 49BF
1 CD54
1 D7A4
1 5EFE
1 3959
1 5412
1 0432
1 CE33
1 AAF3
1 E6FA
1 0242
1 62FC
1 1849
1 6DC2
1 D3E9
1 E00B
1 48EE
1 8D3E
1 A4E3
1 D358
1 31EB
1 2263
1 F956
1 671E
1 46B3
1 9515
1 D75E
1 E29D
1 CE4E
1 1360
1 9304
1 691C
1 A717
1 2AFA
1 23F2
1 33E1
1 DC83
1 D844
1 D2DB
1 2851
1 671C
1 0AC2
1 1080
1 7C4B
1 49C2
1 500A
1 7479
1 90D8
1 8E74
1 444E
1 ABF1
