00 0 0
00 0 0
00 0 0
00 0 0
30 1 0
31 1 0
32 1 0
33 1 0
34 1 0
35 1 0
36 1 0
37 1 0
38 1 0
39 1 0
00 0 0
00 0 0
00 0 0
00 0 0
00 0 0
61 1 0
62 1 0
63 1 0
64 1 0
65 1 0
66 1 0
67 1 0
68 1 0
69 1 0
6A 1 0
6B 1 0
6C 1 0
6D 1 0
6E 1 0
6F 1 0
70 1 0
71 1 0
75 1 0
72 1 0
73 1 0
74 1 0
00 0 0
55 1 0
73 1 0
65 1 0
20 1 0
74 1 0
68 1 0
65 1 0
20 1 0
53 1 0
6F 1 0
75 1 0
72 1 0
63 1 0
65 1 0
2C 1 0
20 1 0
4C 1 0
75 1 0
6B 1 0
65 1 0
21 1 0
00 0 0
00 0 0
43 1 0
68 1 0
65 1 0
76 1 0
72 1 0
6F 1 0
6E 1 0
20 1 0
73 1 0
65 1 0
76 1 0
65 1 0
6E 1 0
2E 1 0
2E 1 1
2E 1 0
20 1 0
6C 1 0
6F 1 0
63 1 0
6B 1 0
21 1 0
00 0 0
00 0 0
43 1 1
68 1 0
65 1 0
76 1 0
72 1 0
6F 1 0
6E 1 0
20 1 0
73 1 0
65 1 0
76 1 0
65 1 0
6E 1 0
2E 1 0
2E 1 0
2E 1 0
20 1 0
6C 1 0
6F 1 0
63 1 0
6B 1 0
21 1 0
00 0 0
00 0 0
55 1 0
73 1 0
65 1 0
20 1 0
74 1 0
68 1 0
65 1 0
20 1 0
53 1 0
6F 1 0
75 1 0
72 1 0
63 1 0
65 1 0
2C 1 0
20 1 0
4C 1 0
75 1 0
6B 1 0
65 1 0
21 1 0
00 0 0
00 0 0
